4 1000 1 2 3
西瓜数据集3.0perfect
编号	密度	含糖率	好瓜
1	0.038	0.665	否
2	0.090	0.420	否
3	0.793	0.715	是
4	0.307	0.061	否
5	0.377	0.399	否
6	0.812	0.905	是
7	0.134	0.279	否
8	0.394	0.810	是
9	0.883	0.102	是
10	0.976	0.578	是
11	0.830	0.669	是
12	0.504	0.726	是
13	0.329	0.314	否
14	0.680	0.224	是
15	0.657	0.054	否
16	0.429	0.586	否
17	0.834	0.458	是
18	0.789	0.089	是
19	0.447	0.529	否
20	0.369	0.861	是
21	0.328	0.830	否
22	0.027	0.763	否
23	0.377	0.441	否
24	0.127	0.895	否
25	0.525	0.947	是
26	0.576	0.200	否
27	0.194	0.411	否
28	0.218	0.568	否
29	0.243	0.126	否
30	0.315	0.130	否
31	0.960	0.038	是
32	0.741	0.094	是
33	0.501	0.346	否
34	0.168	0.662	否
35	0.559	0.600	是
36	0.999	0.121	是
37	0.650	0.587	是
38	0.154	0.831	否
39	0.728	0.185	是
40	0.670	0.879	是
41	0.557	0.130	否
42	0.737	0.341	是
43	0.237	0.157	否
44	0.785	0.736	是
45	0.002	0.263	否
46	0.390	0.244	否
47	0.909	0.494	是
48	0.802	0.864	是
49	0.620	0.016	否
50	0.377	0.741	否
51	0.999	0.151	是
52	0.032	0.472	否
53	0.510	0.548	是
54	0.612	0.154	否
55	0.818	0.616	是
56	0.764	0.978	是
57	0.540	0.016	否
58	0.118	0.617	否
59	0.869	0.484	是
60	0.220	0.927	否
61	0.402	0.552	否
62	0.941	0.354	是
63	0.357	0.069	否
64	0.346	0.911	是
65	0.355	0.432	否
66	0.586	0.957	是
67	0.628	0.575	是
68	0.969	0.301	是
69	0.796	0.947	是
70	0.756	0.180	是
71	0.728	0.924	是
72	0.593	0.092	否
73	0.540	0.164	否
74	0.476	0.055	否
75	0.984	0.975	是
76	0.672	0.221	是
77	0.043	0.175	否
78	0.643	0.654	是
79	0.774	0.414	是
80	0.310	0.930	否
81	0.512	0.452	否
82	0.058	0.272	否
83	0.998	0.807	是
84	0.760	0.677	是
85	0.897	0.372	是
86	0.038	0.932	否
87	0.773	0.381	是
88	0.391	0.714	否
89	0.344	0.107	否
90	0.423	0.709	是
91	0.792	0.378	是
92	0.652	0.759	是
93	0.022	0.124	否
94	0.643	0.371	是
95	0.779	0.886	是
96	0.004	0.380	否
97	0.020	0.124	否
98	0.454	0.673	是
99	0.896	0.786	是
100	0.480	0.429	否
101	0.542	0.765	是
102	0.765	0.218	是
103	0.877	0.809	是
104	0.379	0.721	否
105	0.320	0.116	否
106	0.291	0.964	否
107	0.575	0.987	是
108	0.878	0.974	是
109	0.703	0.210	是
110	0.570	0.059	否
111	0.063	0.385	否
112	0.319	0.394	否
113	0.069	0.475	否
114	0.995	0.102	是
115	0.097	0.699	否
116	0.950	0.065	是
